,SYMBOL
1080,LICNFNHGP
1081,LIKHITHA
1082,LINCOLN
1083,LINCPEN
1088,LOKESHMACH
1089,LOTUSEYE
1090,LOVABLE
1091,LPDC
1092,LSIL
1093,LT
1094,LTI
1095,LTTS
1096,LUMAXIND
1097,LUMAXTECH
1098,LUPIN
1099,LUXIND
1100,LXCHEM
1101,LYKALABS
1103,M&M
1105,M&MFIN
1110,MACPOWER
1111,MADHAV
1112,MADHUCON
1113,MADRASFERT
1114,MAESGETF
1116,MAFSETF
1117,MAGADSUGAR
1118,MAGNUM
1119,MAHABANK
1120,MAHAPEXLTD
1121,MAHASTEEL
1124,MAHICKRA
1125,MAHINDCIE
1126,MAHLIFE
1127,MAHLOG
1128,MAHSCOOTER
1129,MAHSEAMLES
1130,MAITHANALL
1131,MALUPAPER
1132,MAN50ETF
1133,MANAKALUCO
1134,MANAKCOAT
1136,MANAKSTEEL
1137,MANALIPETC
1139,MANGALAM
1142,MANGTIMBER
1144,MANINFRA
1145,MANORG
1146,MANUGRAPH
1147,MANXT50
1148,MARALOVER
1149,MARATHON
1150,MARICO
1151,MARINE
1152,MARKSANS
1153,MARSHALL
1158,MASTEK
1159,MATRIMONY
1160,MAWANASUG
1161,MAXHEALTH
1162,MAXIND
1163,MAXVIL
1164,MAYURUNIQ
1165,MAZDA
1166,MAZDOCK
1169,MBLINFRA
1170,MC1RG
1171,MCDHOLDING
1172,MCDOWELL-N
1174,MCLEODRUSS
1175,MCX
1176,MEDICAMEQ
1177,MEGASOFT
1178,MELSTAR
1179,MENONBE
1181,MERCATOR
1182,METALFORGE
1184,MFL
1185,MFSL
1186,MGEL
1188,MHRIL
1189,MIDHANI
1190,MINDACORP
1192,MINDSPACE
1193,MINDTECK
1194,MINDTREE
1195,MIRCELECTR
1196,MIRZAINT
1197,MITCON
1198,MITTAL
1199,MMFL
1200,MMP
1201,MMTC
1202,MODIRUBBER
1203,MODISNME
1205,MOHITIND
1206,MOIL
1210,MOLDTKPAC
1213,MOM50
1215,MONTECARLO
1216,MORARJEE
1217,MOREPENLAB
1218,MOTHERSUMI
1219,MOTILALOFS
1220,MOTOGENFIN
1221,MPHASIS
1222,MPSLTD
1223,MRF
1224,MRO-TEK
1225,MRPL
1229,MTEDUCARE
1231,MUKANDLTD
1232,MUKTAARTS
1233,MUNJALAU
1235,MURUDCERA
1239,NACLIND
1240,NAGAFERT
1241,NAGREEKEXP
1242,NAHARCAP
1243,NAHARINDUS
1244,NAHARPOLY
1245,NAHARSPING
1246,NAM-INDIA
1247,NATCOPHARM
1248,NATHBIOGEN
1249,NATIONALUM
1251,NAVINFLUOR
1252,NAVKARCORP
1254,NAZARA
1255,NBCC
1256,NBIFIN
1257,NBVENTURES
1258,NCC
1259,NCLIND
1260,NCPSESDL24
1261,NDGL
1262,NDL
1264,NDTV
1265,NECCLTD
1266,NECLIFE
1267,NELCAST
1268,NELCO
1269,NEOGEN
1270,NESCO
1271,NESTLEIND
1272,NETF
1274,NETFDIVOPP
1277,NETFLTGILT
1278,NETFMID150
1279,NETFNIF100
1280,NETFNV20
1281,NETFPHARMA
1282,NETFSDL26
1283,NETWORK18
1285,NEWGEN
1286,NEXTMEDIA
1287,NFL
1288,NGIL
1291,NHAI
1295,NHAI
1297,NHAI
1299,NHPC
1300,NIACL
1301,NIBL
1303,NIFTYBEES
1304,NIITLTD
1305,NILAINFRA
1306,NILASPACES
1307,NILKAMAL
1308,NIPPOBATRY
1310,NITCO
1312,NITINSPIN
1313,NITIRAJ
1314,NKIND
1315,NLCINDIA
1316,NMDC
1317,NOCIL
1318,NOIDATOLL
1319,NOVARTIND
1320,NPBET
1321,NRAIL
1322,NRBBEARING
1323,NSIL
1324,NTL
1325,NTPC
1328,NTPC
1329,NTPC
1330,NUCLEUS
1331,NURECA
1332,NUVOCO
1335,NYKAA
1336,OAL
1337,OBEROIRLTY
1338,OCCL
1340,OIL
1342,OLECTRA
1344,OMAXE
1345,OMINFRAL
1346,OMKARCHEM
1348,ONEPOINT
1349,ONGC
1350,ONMOBILE
1351,ONWARDTEC
1352,OPTIEMUS
1353,ORBTEXP
1355,ORICONENT
1356,ORIENTABRA
1357,ORIENTALTL
1358,ORIENTBELL
1359,ORIENTCEM
1360,ORIENTELEC
1361,ORIENTHOT
1363,ORIENTPPR
1364,ORISSAMINE
1366,ORTINLAB
1367,OSIAHYPER
1368,OSWALAGRO
1370,PAGEIND
1371,PAISALO
1372,PALASHSECU
1373,PALREDTEC
1374,PANACEABIO
1375,PANACHE
1376,PANAMAPET
1377,PANSARI
1378,PAR
1379,PARACABLES
1380,PARAGMILK
1382,PARSVNATH
1383,PARTYCRUS
1385,PASUPTAC
1386,PATELENG
1387,PATINTLOG
1388,PATSPINLTD
1389,PAVNAIND
1390,PAYTM
1391,PBAINFRA
1392,PCJEWELLER
1393,PDMJEPAPER
1394,PDSMFL
1395,PEARLPOLY
1396,PEL
1397,PENIND
1398,PENINLAND
1399,PERSISTENT
1400,PETRONET
1401,PFC
1403,PFC
1406,PFC
1407,PFIZER
1409,PFS
1410,PGEL
1411,PGHH
1412,PGHL
1413,PGIL
1414,PGINVIT
1415,PHILIPCARB
1416,PHOENIXLTD
1419,PIIND
1421,PILITA
1422,PIONDIST
1423,PIONEEREMB
1424,PITTIENG
1425,PKTEA
1426,PLASTIBLEN
1427,PNB
1428,PNBGILTS
1429,PNBHOUSING
1430,PNC
1432,PODDARHOUS
1433,PODDARMENT
1434,POKARNA
1436,POLYCAB
1437,POLYMED
1438,POLYPLEX
1439,PONNIERODE
1440,POONAWALLA
1441,POONAWALLA
1442,POWERGRID
1443,POWERINDIA
1444,POWERMECH
1445,PPAP
1449,PRAKASH
1450,PRAKASHSTL
1451,PRAXIS
1452,PRECAM
1453,PRECOT
1454,PRECWIRE
1455,PREMEXPLN
1456,PREMIER
1458,PRESSMN
1460,PRICOLLTD
1461,PRIMESECU
1462,PRINCEPIPE
1464,PRITIKAUTO
1465,PRIVISCL
1468,PROZONINTU
1469,PRSMJOHNSN
1470,PSB
1471,PSPPROJECT
1472,PSUBNKBEES
1473,PTC
1474,PTL
1475,PUNJABCHEM
1476,PUNJLLOYD
1477,PURVA
1478,PVP
1481,QNIFTY
1484,QUICKHEAL
1487,RADIOCITY
1488,RAILTEL
1489,RAIN
1490,RAJESHEXPO
1491,RAJMET
1492,RAJRATAN
1493,RAJSREESUG
1494,RAJTV
1495,RALLIS
1498,RAMCOCEM
1499,RAMCOIND
1500,RAMCOSYS
1501,RAMKY
1502,RANASUG
1503,RANEENGINE
1505,RATNAMANI
1506,RAYMOND
1507,RBL
1508,RBLBANK
1509,RCF
1510,RCOM
1511,RECLTD
1514,RECLTD
1516,REDINGTON
1517,REFEX
1519,RELCAPITAL
1520,RELIANCE
1521,RELIGARE
1522,RELINFRA
1523,REMSONSIND
1524,RENUKA
1525,REPCOHOME
1527,REPRO
1528,RESPONIND
1529,REVATHI
1530,REXPIPES
1531,RGL
1536,RICOAUTO
1537,RIIL
1538,RITES
1539,RKEC
1540,RKFORGE
1542,RML
1544,ROHITFERRO
1545,ROHLTD
1546,ROLEXRINGS
1549,ROML
1551,ROSSELLIND
1553,RPGLIFE
1554,RPOWER
1555,RPPINFRA
1556,RPPINFRPP
1558,RPSGVENT
1559,RSSOFTWARE
1560,RSWM
1561,RSYSTEMS
1563,RTNPOWER
1564,RUBYMILLS
1565,RUCHI
1566,RUCHINFRA
1567,RUCHIRA
1568,RUPA
1569,RUSHIL
1571,RVNL
1573,SABEVENTS
1575,SADBHAV
1576,SADBHIN
1577,SAFARI
1578,SAGARDEEP
1579,SAGCEM
1580,SAIL
1581,SAKAR
1582,SAKHTISUG
1584,SAKUMA
1586,SALONA
1587,SALSTEEL
1588,SALZERELEC
1590,SANCO
1591,SANDESH
1594,SANGHIIND
1595,SANGHVIMOV
1596,SANGINITA
1597,SANOFI
1599,SANWARIA
1601,SARDAEN
1602,SAREGAMA
1603,SARLAPOLY
1605,SASKEN
1606,SASTASUNDR
1607,SATIA
1608,SATIN
1609,SBC
1613,SBIETFIT
1615,SBIETFQLTY
1616,SBILIFE
1617,SBIN
1618,SCAPDVR
1619,SCHAEFFLER
1621,SCHNEIDER
1622,SCI
1623,SDBL
1626,SECURCRED
1628,SELAN
1629,SELMC
1630,SEPOWER
1631,SEQUENT
1632,SERVOTECH
1633,SESHAPAPER
1637,SETFNIF50
1638,SETFNIFBK
1639,SETFNN50
1640,SETUINFRA
1641,SEYAIND
1645,SGBAUG27
1657,SGBJAN26
1692,SGIL
1693,SGL
1694,SHAHALLOYS
1695,SHAKTIPUMP
1696,SHALBY
1697,SHALPAINTS
1698,SHANKARA
1700,SHANTIGEAR
1701,SHARDACROP
1702,SHARDAMOTR
1703,SHAREINDIA
1704,SHARIABEES
1705,SHEMAROO
1706,SHIL
1707,SHILPAMED
1708,SHIVAMAUTO
1709,SHIVAMILLS
1710,SHIVATEX
1711,SHK
1712,SHOPERSTOP
1713,SHRADHA
1714,SHREDIGCEM
1715,SHREECEM
1716,SHREEPUSHK
1717,SHREERAMA
1720,SHREYANIND
1721,SHREYAS
1722,SHRIPISTON
1723,SHRIRAMCIT
1726,SHYAMCENT
1727,SHYAMMETL
1729,SICAL
1730,SIDDHIKA
1731,SIEMENS
1733,SIGIND
1736,SIL
1737,SILGO
1738,SILINV
1740,SIMBHALS
1741,SIMPLEXINF
1742,SINTERCOM
1743,SINTEX
1745,SIS
1746,SITINET
1747,SIYSIL
1748,SJS
1749,SJVN
1750,SKFINDIA
1751,SKIPPER
1752,SKMEGGPROD
1753,SMARTLINK
1754,SMCGLOBAL
1755,SMLISUZU
1756,SMSLIFE
1757,SMSPHARMA
1758,SNOWMAN
1759,SOBHA
1760,SOLARA
1761,SOLARINDS
1762,SOMANYCERA
1764,SONACOMS
1765,SONAMCLOCK
1766,SONATSOFTW
1767,SORILINFRA
1768,SOTL
1769,SOUTHBANK
1771,SPAL
1772,SPANDANA
1773,SPARC
1774,SPECIALITY
1775,SPENCERS
1776,SPENTEX
1777,SPIC
1778,SPICEJET
1779,SPLIL
1780,SPMLINFRA
1781,SPTL
1783,SREIBNPNCD
1788,SREIBNPNCD
1789,SREIBNPNCD
1791,SREIBNPNCD
1792,SREIBNPNCD
1793,SREINFRA
1794,SRF
1795,SRHHYPOLTD
1796,SRIPIPES
1797,SRPL
1798,SRTRANSFIN
1799,SRTRANSFIN
1800,SRTRANSFIN
1801,SRTRANSFIN
1803,SRTRANSFIN
1805,SRTRANSFIN
1806,SRTRANSFIN
1807,SRTRANSFIN
1811,SRTRANSFIN
1816,STAR
1817,STARCEMENT
1818,STARPAPER
1819,STCINDIA
1821,STEELCITY
1822,STEELXIND
1824,STERTOOLS
1825,STLTECH
1827,STYLAMIND
1829,SUBEXLTD
1830,SUBROS
1832,SUMEETINDS
1833,SUMICHEM
1834,SUMIT
1835,SUMMITSEC
1836,SUNCLAYLTD
1839,SUNDARMHLD
1840,SUNDRMBRAK
1841,SUNDRMFAST
1842,SUNFLAG
1843,SUNPHARMA
1844,SUNTECK
1846,SUPERHOUSE
1847,SUPERSPIN
1848,SUPPETRO
1849,SUPRAJIT
1850,SUPREMEENG
1853,SURANASOL
1856,SURYALAXMI
1858,SURYODAY
1859,SUTLEJTEX
1860,SUULD
1861,SUVEN
1862,SUVENPHAR
1863,SUVIDHAA
1864,SUZLON
1865,SVPGLOB
1866,SWANENERGY
1867,SWARAJENG
1868,SWELECTES
1869,SWSOLAR
1872,TAJGVK
1873,TAKE
1874,TALBROAUTO
1875,TANLA
1876,TANTIACONS
1877,TARACHAND
1878,TARC
1879,TARMAT
1880,TASTYBITE
1885,TATACHEM
1886,TATACOFFEE
1887,TATACOMM
1888,TATACONSUM
1889,TATAELXSI
1890,TATAINVEST
1891,TATAMETALI
1892,TATAMOTORS
1893,TATAMTRDVR
1894,TATAPOWER
1895,TATASTEEL
1896,TATASTLLP
1897,TATVA
1898,TBZ
1899,TCFSL
1901,TCFSL
1902,TCFSL
1903,TCI
1905,TCIEXP
1906,TCNSBRANDS
1907,TCPLPACK
1908,TCS
1909,TDPOWERSYS
1910,TEAMLEASE
1913,TECHM
1915,TEJASNET
1917,TERASOFT
1919,TEXMOPIPES
1920,TEXRAIL
1921,TFCILTD
1925,THEINVEST
1927,THEMISMED
1929,THOMASCOOK
1930,THOMASCOTT
1932,TI
1933,TIDEWATER
1934,TIIL
1936,TIJARIA
1937,TIL
1938,TIMESGTY
1940,TIMKEN
1941,TINPLATE
1942,TIPSINDLTD
1943,TIRUMALCHM
1948,TNPETRO
1949,TNPL
1950,TNTELE
1952,TORNTPHARM
1953,TORNTPOWER
1954,TOTAL
1956,TPLPLASTEH
1960,TRF
1961,TRIDENT
1962,TRIGYN
1963,TRIL
1964,TRITURBINE
1965,TRIVENI
1966,TTKHLTCARE
1967,TTKPRESTIG
1968,TTL
1969,TTML
1970,TV18BRDCST
1972,TVSMOTOR
1973,TVSSRICHAK
1974,TVTODAY
1976,TWL
1977,UBL
1978,UCALFUEL
1979,UCL
1981,UFLEX
1982,UFO
1983,UGARSUGAR
1984,UGROCAP
1985,UJAAS
1986,UJJIVAN
1987,UJJIVANSFB
1988,ULTRACEMCO
1989,UMANGDAIRY
1991,UNICHEMLAB
1992,UNIDT
1993,UNIENTER
1994,UNIINFO
1995,UNIONBANK
1997,UNITEDTEA
1998,UNIVASTU
1999,UNIVCABLES
2000,UNIVPHOTO
2001,UPL
2002,URJA
2003,USHAMART
2005,UTIBANKETF
2006,UTINEXT50
2007,UTINIFTETF
2010,UTTAMSTL
2011,UTTAMSUGAR
2012,V2RETAIL
2013,VADILALIND
2015,VAISHALI
2017,VALIANTORG
2018,VARDHACRLC
2019,VARDMNPOLY
2020,VARROC
2021,VASCONEQ
2022,VASWANI
2023,VBL
2024,VCL
2025,VEDL
2026,VENKEYS
2027,VENUSREM
2029,VESUVIUS
2032,VHL
2033,VICEROY
2034,VIDHIING
2035,VIJAYA
2036,VIJIFIN
2037,VIKASECO
2041,VIMTALABS
2042,VINATIORGA
2045,VINYLINDIA
2046,VIPCLOTHNG
2047,VIPIND
2048,VIPULLTD
2049,VISAKAIND
2052,VISHNU
2054,VIVIDHA
2055,VIVIMEDLAB
2056,VLSFINANCE
2057,VMARCIND
2059,VOLTAMP
2060,VOLTAS
2061,VRLLOG
2062,VSSL
2064,VSTTILLERS
2065,VTL
2066,WABAG
2067,WABCOINDIA
2068,WALCHANNAG
2069,WALPAR
2071,WATERBASE
2072,WEALTH
2073,WEBELSOLAR
2074,WEIZMANIND
2075,WELCORP
2076,WELENT
2077,WELINV
2078,WELSPUNIND
2079,WENDT
2080,WESTLIFE
2082,WHEELS
2083,WHIRLPOOL
2085,WINDLAS
2086,WINDMACHIN
2089,WOCKPHARMA
2090,WONDERLA
2092,WSTCSTPAPR
2093,XCHANGING
2094,XELPMOC
2095,XPROINDIA
2096,YAARII
2098,YUKEN
2099,ZEEL
2100,ZEEL
2101,ZEELEARN
2102,ZEEMEDIA
2104,ZENSARTECH
2105,ZENTEC
2106,ZODIAC
2107,ZODIACLOTH
2109,ZOTA
2110,ZUARI
2111,ZUARIGLOB
2112,ZYDUSWELL
